AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,DAYS_BIRTH,DAYS_EMPLOYED,CNT_CHILDREN,NAME_EDUCATION_TYPE,NAME_INCOME_TYPE,CODE_GENDER,TARGET
28401.38307770371,750595.4978010765,13996.18060054028,-18811,-3783,2,Higher education,Working,M,0
55269.54852841659,953109.7159095854,27239.137945148846,-9810,-3689,2,Secondary / secondary special,Commercial associate,F,0
37071.07610164762,505346.9153470724,17788.858201774943,-12215,-12151,0,Higher education,Working,F,0
53152.188560580966,559634.1995560486,9129.083228779578,-9615,-12684,2,Secondary / secondary special,Commercial associate,F,0
49156.22579709455,591990.8484367004,15002.371993109537,-7651,-3686,1,Secondary / secondary special,Working,M,0
65986.15366649945,573805.9278874223,16174.970947878961,-18933,-4118,1,Secondary / secondary special,Working,M,0
62669.31610228724,312882.5789654838,23505.417822763353,-21967,-4469,3,Secondary / secondary special,Working,M,0
91427.70583637385,621905.8306913296,26049.11980435679,-20528,-3341,2,Secondary / secondary special,Working,M,0
44027.70012376739,296949.3477072023,26922.785184796627,-16915,-7534,3,Higher education,Commercial associate,M,0
53695.436743655526,539205.1706040855,29632.13380632992,-20390,-6779,2,Higher education,Working,M,0
37641.3669853882,770608.929726686,23422.185201490887,-22215,-10746,0,Secondary / secondary special,Commercial associate,F,0
37555.802219256926,762259.1187663369,21290.287542525002,-15926,-13072,3,Higher education,Commercial associate,F,0
65485.80718320607,278978.37203325663,18858.93487622575,-24577,-11581,3,Secondary / secondary special,Commercial associate,M,0
50590.337120175864,353780.18443877983,20459.96615635036,-8408,-1575,3,Higher education,Commercial associate,F,0
36875.416061163356,13388.45530281117,24664.862309562086,-18761,-2351,0,Higher education,Working,M,0
60939.84026917664,179987.98853032774,8264.339683655664,-13804,-13136,0,Secondary / secondary special,Commercial associate,M,0
78574.28596052522,578692.130946006,22007.423743591244,-22297,-11322,0,Higher education,Working,M,0
33443.82549765987,809798.5084325739,13993.853134863864,-20429,-12210,2,Secondary / secondary special,Working,M,0
25368.410396913707,482651.92356403265,27897.022861803776,-15007,-1093,2,Secondary / secondary special,Commercial associate,F,0
41605.636975867106,385731.1074734664,19152.82206359965,-9467,-3755,1,Higher education,Working,F,0
25841.83386984984,706196.5640525926,20029.67490600757,-22783,-13415,1,Secondary / secondary special,Commercial associate,M,0
41010.835937070726,615248.6369666196,20377.471120401093,-24455,-7612,1,Secondary / secondary special,Working,F,0
69098.00739974962,500743.4548706491,23782.83305535621,-15169,-9756,2,Secondary / secondary special,Commercial associate,M,0
47518.11063472906,365862.6483288102,7174.742187004351,-9505,-4903,2,Higher education,Commercial associate,F,0
68575.30955877408,421780.12324216845,23738.662035811867,-12847,-5786,2,Secondary / secondary special,Working,M,0
36903.85200493544,733375.2268168346,25024.93446097614,-21210,-1222,3,Secondary / secondary special,Commercial associate,M,0
30048.555751441196,815852.1359534687,20823.33899691495,-21196,-11746,0,Higher education,Working,F,0
28336.725768499648,425121.695957624,18784.251197306112,-9180,-4659,3,Higher education,Commercial associate,M,1
67644.02562856156,1015742.2325788569,26587.579422609084,-18756,-12730,3,Higher education,Working,F,1
71787.60404352279,680570.8268273865,18068.324391591505,-19775,-10205,0,Secondary / secondary special,Commercial associate,F,0
41622.31906174252,383575.48590123426,18187.332552265376,-24671,-2699,3,Secondary / secondary special,Working,M,0
65960.86720714981,437397.13620625756,26217.688676381837,-11563,-10658,3,Secondary / secondary special,Working,M,0
25065.76542999678,320001.99518220033,24375.75968358241,-17057,-254,2,Secondary / secondary special,Working,F,0
73474.06055328515,801157.4262884385,16243.222193887806,-20763,-836,0,Higher education,Working,M,0
50216.801626515175,271149.2429064092,20395.051960688572,-18264,-5858,0,Higher education,Commercial associate,F,0
33351.409135675436,950182.9645614598,16346.174260980259,-16829,-6883,0,Higher education,Commercial associate,F,0
49106.028016483564,587814.9944581523,14520.843705464056,-15654,-8870,2,Secondary / secondary special,Working,M,0
64248.53776082786,580826.0123062141,21794.197065773307,-16604,-10481,0,Secondary / secondary special,Working,F,0
73843.50185238347,388029.2751495189,23367.031678922638,-21859,-14239,3,Secondary / secondary special,Commercial associate,F,0
61378.020807193505,293450.0188295676,23519.434089186638,-18236,-14846,2,Secondary / secondary special,Working,M,0
20504.515562228316,588329.1240723392,24022.410689604712,-15451,-1063,2,Higher education,Commercial associate,M,0
34860.682166931,286907.3459627764,20260.626475696547,-24005,-6764,2,Secondary / secondary special,Working,F,0
63044.29811331417,49344.16393667308,25183.473277673376,-11756,-7136,3,Secondary / secondary special,Commercial associate,F,0
56610.353073454986,481393.1263443889,28107.500876697617,-24152,-7070,3,Higher education,Working,F,0
39457.54877257594,660881.5486148853,27918.594847920056,-24592,-10043,0,Secondary / secondary special,Commercial associate,M,0
32450.69515196843,626198.5135245672,23328.261253045126,-19871,-2314,1,Higher education,Commercial associate,M,0
65984.07804108522,653268.6299860302,21303.985163683214,-15051,-11210,0,Higher education,Working,M,0
33877.75935517653,362182.773675699,28433.26274147133,-20291,-9616,3,Secondary / secondary special,Working,M,0
69005.95149947767,263455.6616800284,15734.047486319414,-13189,-12913,2,Secondary / secondary special,Commercial associate,F,0
59438.74454537347,415716.5041426257,18848.41937540745,-23430,-5186,3,Secondary / secondary special,Working,F,0
55281.36103472195,493767.81822257594,17990.03915042382,-7943,-4944,0,Secondary / secondary special,Commercial associate,F,0
75558.88368143981,122747.52658651897,20540.302251907135,-9178,-8393,2,Higher education,Commercial associate,F,0
42039.922131225096,341684.12241733004,15609.935368409933,-17283,-12292,2,Secondary / secondary special,Working,F,0
37219.80880564168,359029.8111608607,22251.49038902987,-16095,-1153,2,Higher education,Commercial associate,F,0
62172.40902660198,511066.8463368599,18725.532313288222,-23804,-10682,0,Higher education,Commercial associate,M,0
59949.85805859708,655600.39035869,18001.389270541207,-18008,-9987,1,Secondary / secondary special,Working,M,0
29962.268427323605,664207.8786388077,22661.316857068632,-23568,-8723,3,Higher education,Working,M,0
57637.19835213427,129908.79025239137,20113.121436142945,-14927,-9412,2,Secondary / secondary special,Working,F,0
54504.61102844566,459024.8740788207,20012.091734513615,-10179,-3754,1,Higher education,Commercial associate,M,0
75504.73785488009,442950.5262384197,25022.036797146502,-7200,-3931,1,Higher education,Working,F,0
42133.155981165524,571242.2383145114,25599.753656741534,-7837,-805,1,Secondary / secondary special,Commercial associate,M,0
47320.82487855658,458359.98601207277,22021.06663399596,-8464,-1665,0,Higher education,Working,F,0
32071.78816780327,352305.60750789405,11812.368546109188,-24165,-3685,1,Higher education,Working,F,0
37288.17451030374,409831.2215764993,19308.862889014883,-12924,-8623,0,Higher education,Working,F,0
66584.51447363169,568692.0321223707,16980.798849360828,-16152,-3169,2,Higher education,Commercial associate,F,0
62331.05524515076,605179.9664977274,18924.462932038,-10297,-10014,3,Higher education,Working,M,0
28042.57547350324,538985.7080657352,9015.45292837249,-9874,-14125,1,Secondary / secondary special,Commercial associate,F,0
38474.77048077857,365911.4889299396,17998.28747851932,-18503,-9243,2,Secondary / secondary special,Working,F,0
56211.25671540635,618905.0897926388,14752.729312159747,-10344,-5391,3,Secondary / secondary special,Commercial associate,M,1
48713.765786427495,660781.2541715123,29745.209789331624,-7993,-4268,0,Secondary / secondary special,Commercial associate,M,0
68290.57192191563,434945.4491854336,19709.64556568638,-8321,-12269,0,Secondary / secondary special,Working,M,0
37101.98298471837,53107.470181621786,16281.040202381098,-10092,-6244,2,Secondary / secondary special,Commercial associate,M,0
86891.89296305756,769633.893210222,15737.041875347353,-10443,-11651,1,Secondary / secondary special,Working,M,0
44240.57715157367,319572.01971685677,13142.368568635256,-10007,-3966,0,Secondary / secondary special,Commercial associate,M,0
40076.65649393728,573575.427166601,21342.922885339933,-14841,-10651,0,Secondary / secondary special,Commercial associate,F,0
42551.864549867605,591804.2095093691,17458.91910362889,-24424,-4765,1,Secondary / secondary special,Commercial associate,M,0
58585.63249323197,503496.12949686806,24329.006193444227,-10011,-8018,2,Secondary / secondary special,Working,M,0
57554.31061021881,382152.45709249994,14847.23034819326,-17211,-10496,0,Secondary / secondary special,Commercial associate,M,0
60411.91657827931,966143.2886433005,23032.68594846949,-22348,-1448,1,Secondary / secondary special,Working,M,0
60987.6556683528,289023.3429147783,22605.681455804595,-14866,-1669,1,Secondary / secondary special,Working,F,0
73818.25783200355,456365.97559531324,18218.512634117254,-21578,-13411,3,Higher education,Working,F,0
47640.57960706955,706360.6511278846,33077.89077883353,-20365,-14116,0,Secondary / secondary special,Working,M,0
49314.71928296014,539332.960443675,25257.79436100943,-22125,-225,0,Higher education,Commercial associate,F,0
71581.46445686503,787985.1173530512,17596.70820855898,-21672,-14840,2,Higher education,Commercial associate,M,0
29360.571149225194,131058.5483273397,21354.099209483837,-13101,-2013,3,Higher education,Working,M,0
45258.162495451325,129907.74297225114,22790.245998148665,-24350,-9948,3,Secondary / secondary special,Commercial associate,M,0
72138.24678242314,314344.5633539052,11220.294715232687,-23442,-12144,0,Secondary / secondary special,Working,F,0
48391.232287426166,1032878.1043371642,18704.372418023664,-15430,-6352,1,Higher education,Commercial associate,F,0
53621.11316032203,759829.4652756467,21522.007274238847,-8968,-1063,3,Higher education,Working,F,0
81042.44650074853,332828.4224568538,16801.761680263684,-20273,-5923,0,Secondary / secondary special,Working,F,0
9113.154632019228,658536.7897863446,18398.2835179845,-16589,-2181,0,Secondary / secondary special,Commercial associate,F,0
40399.541773029516,452025.6353092104,20856.225864657077,-18977,-9514,0,Secondary / secondary special,Commercial associate,M,0
59337.02761053106,412501.8337259217,19444.85754395662,-7768,-2647,2,Secondary / secondary special,Commercial associate,F,0
94309.5863545696,798995.076070409,29339.789663120984,-13055,-519,3,Secondary / secondary special,Working,F,0
80368.43186892028,963574.4688972172,18394.238120233473,-22351,-10782,2,Higher education,Working,M,0
80443.87604494764,717378.4036277205,21885.58894180832,-20296,-9767,2,Secondary / secondary special,Working,M,0
74425.3482583527,408336.96632269124,16654.374633829888,-13664,-14850,3,Secondary / secondary special,Commercial associate,F,0
29993.620498727312,464446.83550310833,32844.25104391046,-16703,-3192,3,Secondary / secondary special,Commercial associate,F,0
50366.97132184752,188724.11847242102,25108.520145502585,-17133,-13738,2,Secondary / secondary special,Commercial associate,M,0
53217.21788704224,480497.374989811,21030.557888005802,-21030,-12074,3,Higher education,Working,M,1
46082.07822009114,397395.14820992266,20690.155195992287,-24640,-9392,3,Higher education,Working,F,0
76950.43361964148,277436.5539718574,19289.165384860316,-15879,-11030,3,Higher education,Commercial associate,F,0
67049.37876659978,103108.75415344595,16831.41222876994,-22694,-4760,3,Secondary / secondary special,Working,M,0
52555.62822734949,796087.4128075938,11992.941148751548,-21437,-12366,0,Higher education,Commercial associate,M,0
43788.26039134553,504872.51398083527,22696.642008757968,-10402,-9667,3,Higher education,Commercial associate,M,0
41407.419503806756,863214.7741605829,18907.589349206683,-7516,-8450,3,Higher education,Commercial associate,M,0
51093.55917467365,568006.1251597737,26517.587336054115,-10099,-298,1,Higher education,Commercial associate,M,0
68019.30618396138,482188.4332515946,18635.47301245324,-16197,-13654,2,Higher education,Commercial associate,M,0
51296.7559862643,620889.0598723241,16051.242769785184,-8963,-6480,2,Higher education,Working,F,0
42071.05772669446,510091.20970310905,24136.979964097714,-10462,-6567,0,Higher education,Commercial associate,M,0
52636.608433748814,317120.17030370206,10558.624224517342,-18419,-1457,0,Higher education,Commercial associate,M,0
28620.44706941478,691823.9279098342,11009.152932591749,-24952,-7317,0,Secondary / secondary special,Commercial associate,F,0
13533.214361957456,566741.462804162,28464.83638260405,-24025,-13935,1,Higher education,Commercial associate,M,0
25434.847298126875,405185.82943289913,21265.663700188645,-18695,-2470,3,Secondary / secondary special,Commercial associate,M,0
60169.85706313366,648960.1481839532,24415.366501758377,-10755,-3625,1,Secondary / secondary special,Commercial associate,M,0
44954.46390934529,1164667.0877108895,17541.88076543808,-12577,-10445,3,Secondary / secondary special,Working,F,0
44984.66386897534,164906.4883230729,17557.458859638013,-11773,-8155,3,Higher education,Working,F,0
66458.41610368775,645686.885154958,17877.434220823485,-10357,-11873,1,Higher education,Commercial associate,F,0
50310.111881319506,537150.1790459685,15349.078817533136,-14507,-4803,3,Higher education,Commercial associate,F,0
16901.344208695067,328924.6931148701,27071.298794285634,-15939,-9235,3,Higher education,Commercial associate,F,0
68132.08921135752,769040.0617927003,18243.427190783397,-23772,-3716,0,Higher education,Working,M,0
63187.30288961954,439964.67472455464,25131.511366179984,-16739,-14880,3,Secondary / secondary special,Commercial associate,M,0
64967.141788965484,224137.40725991916,19781.251059008286,-17821,-794,0,Higher education,Working,M,0
49952.316813421145,358168.8171586037,20587.55143425569,-9897,-1261,0,Higher education,Working,M,0
38073.651404778415,358020.90803295583,16683.91592669677,-10937,-6887,3,Secondary / secondary special,Commercial associate,M,0
56561.316316689336,153213.18697377044,30688.112175525846,-23378,-1588,0,Higher education,Commercial associate,M,0
42834.4444834887,443083.7359468636,25327.527627442912,-9494,-1229,3,Secondary / secondary special,Working,M,0
49293.12556629465,593114.7913312725,18845.56012260187,-8757,-6989,2,Higher education,Working,F,1
52096.562507916555,582554.562928601,20174.128989103974,-23971,-86,3,Higher education,Working,M,0
42389.87968605121,88849.65425873455,17076.83131464893,-15556,-2306,0,Secondary / secondary special,Commercial associate,F,0
59866.475692090855,457040.0194847992,13047.137806664807,-17989,-871,2,Higher education,Commercial associate,F,0
84251.29679456225,426366.1411659845,17316.903660556625,-23004,-3156,1,Higher education,Commercial associate,F,0
51959.3670302129,695337.547206148,24365.27695534288,-9231,-12160,1,Higher education,Commercial associate,F,0
63680.650104283064,649810.3957316786,24351.591216231413,-16100,-720,1,Higher education,Working,M,0
36757.50008203248,392899.8974250271,26920.44073776596,-14933,-10917,2,Higher education,Commercial associate,M,0
62151.24333595025,775323.4664001022,18188.775862350045,-21714,-4118,1,Secondary / secondary special,Commercial associate,F,0
97355.49875179285,619365.13326074,25271.480418438823,-20805,-10162,1,Secondary / secondary special,Working,M,0
50150.44297663343,387902.7926051383,11647.226393566792,-23245,-12909,3,Higher education,Commercial associate,M,0
63726.09630871247,284158.676941977,20692.57109068948,-15389,-14444,3,Secondary / secondary special,Working,M,1
38280.272353001856,427442.87311539234,11856.680646414801,-21463,-10926,2,Higher education,Working,F,0
69393.82063061104,465478.61707256903,25028.200453144786,-18548,-7302,1,Higher education,Commercial associate,M,0
92533.46225146695,608226.6257516897,26050.367914710416,-20074,-6917,2,Secondary / secondary special,Working,F,0
25072.89061504681,241261.7037120355,18987.802789649755,-18530,-9504,3,Secondary / secondary special,Commercial associate,M,0
58680.476621349815,422460.62376309244,32182.93433781706,-10933,-14571,3,Higher education,Commercial associate,M,0
21650.183298301006,57801.6391365928,18408.95411795134,-15239,-13556,2,Higher education,Commercial associate,M,0
51346.92038317426,378438.58009787614,13315.306806323375,-19711,-13382,2,Secondary / secondary special,Commercial associate,F,0
83272.10481611878,572180.5016811471,15366.608263092372,-24611,-9266,2,Secondary / secondary special,Commercial associate,F,0
47590.74811122061,540330.8403212377,15099.535671540072,-21119,-4880,2,Higher education,Working,F,1
43448.50072809123,621080.7105842313,17763.02512879299,-20351,-10910,1,Higher education,Working,M,0
50355.53481667466,474758.316506882,15725.525228955721,-19637,-12514,0,Higher education,Commercial associate,F,0
46957.61974966269,343038.6607173383,21465.72694333813,-9252,-9992,2,Higher education,Commercial associate,F,0
25431.555343592754,258853.38340138548,20935.28169406795,-13521,-1914,0,Higher education,Commercial associate,F,0
61384.54767812878,224562.65288619936,25359.009387128397,-23692,-4480,3,Secondary / secondary special,Working,M,0
56138.874586493446,626136.3798376347,19947.764549881198,-10664,-5364,2,Higher education,Commercial associate,M,0
20803.92210354071,603038.4668110952,17456.44679802922,-24221,-14350,3,Higher education,Working,F,0
43032.047414646644,410015.4471317469,25374.6854430979,-10457,-14333,3,Higher education,Commercial associate,M,0
56470.131097207195,854082.1052785416,23004.92865312955,-8878,-8332,0,Higher education,Commercial associate,M,1
69764.93055466189,756499.8040288629,22763.738127750566,-10805,-4004,1,Secondary / secondary special,Commercial associate,M,0
30414.08338569286,488804.4612292239,26981.686538562946,-24382,-7369,2,Higher education,Working,F,0
60699.53282450559,534823.8811718192,23880.94685416651,-13639,-1390,0,Higher education,Working,M,0
55224.27150807151,451659.58213998826,27795.165936655598,-13640,-1738,3,Higher education,Working,M,0
75033.32203478154,319571.91330166196,18426.112554147767,-17745,-10001,0,Higher education,Commercial associate,M,0
18828.617107319064,432615.48674776935,25752.785165778252,-22649,-7525,3,Higher education,Working,M,0
66263.3810855709,437705.1052379753,21471.861751692322,-20345,-13171,3,Higher education,Commercial associate,F,0
17603.16855934569,531482.4475008994,18372.536485848246,-11302,-9607,3,Higher education,Working,M,1
56660.4787743107,596086.851062836,12227.328876165378,-8711,-14846,0,Higher education,Working,F,0
55589.73199657716,327527.1098119606,19593.729275842612,-17161,-13784,1,Higher education,Working,F,0
43136.800541378565,444303.15353955695,18414.712295121226,-24138,-451,2,Higher education,Commercial associate,M,1
75852.8205827066,587394.1998695647,20899.19187560217,-24935,-6051,1,Higher education,Working,M,0
41477.80739345084,183382.66123353963,29531.82670006004,-19390,-13646,0,Higher education,Working,F,0
52880.20395127763,387847.8206523793,27498.910651509075,-16267,-11669,0,Secondary / secondary special,Working,M,0
49503.942254133355,743426.3543051386,11923.429261176425,-23096,-3339,0,Higher education,Commercial associate,F,0
77184.87160617487,1044297.0675055312,22127.566134202774,-20570,-8518,0,Secondary / secondary special,Working,M,0
48649.326509355815,569673.2921065635,20232.068398780837,-13937,-8459,3,Secondary / secondary special,Working,F,1
48183.12595592818,275570.4514101164,21279.783881795982,-16609,-3994,3,Secondary / secondary special,Commercial associate,F,0
49590.20616595826,513280.9652825799,9600.06342031127,-8749,-10710,2,Secondary / secondary special,Working,M,0
44784.457219017124,538752.7252800235,16913.091935436354,-16043,-6219,3,Secondary / secondary special,Commercial associate,F,0
20029.344951594714,422653.14428066806,18604.23863991961,-21836,-809,1,Secondary / secondary special,Commercial associate,F,0
22062.07207456781,442812.58849546406,20993.05630341553,-19636,-11971,2,Secondary / secondary special,Working,F,0
93197.18673577363,743827.803795951,26431.08889593069,-22074,-7027,3,Higher education,Commercial associate,F,0
8653.330535286623,942891.5513071215,19956.04541125434,-18281,-10447,1,Higher education,Commercial associate,F,0
60580.2988178292,544573.5014566149,21655.192793621347,-11696,-8381,0,Secondary / secondary special,Commercial associate,F,0
35881.157449517006,366848.7665146715,24220.890346375018,-9307,-6382,0,Higher education,Commercial associate,M,0
32289.11737669954,923520.8292463014,21198.032264948815,-9299,-4498,3,Higher education,Commercial associate,M,0
78627.10763173098,760365.857868428,17416.22907250566,-8784,-3547,1,Secondary / secondary special,Commercial associate,F,0
32063.230393922528,399055.4581248906,21595.15588319479,-19463,-3092,2,Secondary / secondary special,Commercial associate,F,0
19886.9404239334,254575.77083022325,23040.02493550814,-13315,-14994,1,Higher education,Working,M,0
46676.41857361401,495898.7914274529,19368.376090810616,-17718,-10860,2,Secondary / secondary special,Working,M,0
34138.18448936197,616923.952361307,13779.589773906548,-8803,-11196,0,Higher education,Commercial associate,M,0
73375.53616261357,204299.1798996954,30403.749373316183,-14618,-12161,1,Secondary / secondary special,Working,F,0
8561.686941801054,395396.9628126415,24982.20155463116,-10341,-5713,0,Secondary / secondary special,Commercial associate,M,1
65158.537489908034,267524.04758410534,14515.195200279219,-17481,-6677,2,Higher education,Working,F,0
25194.876175026016,527260.7444215183,29660.933280906713,-19568,-8936,0,Secondary / secondary special,Working,F,0
65347.84469788745,510214.0590223424,24401.43911036333,-19845,-435,1,Secondary / secondary special,Commercial associate,M,0
54400.2653783134,57616.18500920915,23657.557755008274,-14550,-6556,3,Secondary / secondary special,Working,M,0
74804.5630604054,363023.72085150494,11266.90034299322,-9791,-5294,2,Secondary / secondary special,Working,M,0
62912.87649666637,495235.3484346059,23946.5653090274,-17286,-13515,0,Higher education,Commercial associate,F,0
51292.51063946794,502791.04651038896,19746.713331061772,-17973,-7722,0,Higher education,Commercial associate,M,0
82038.56094115027,254253.76686549207,15851.848741916026,-18275,-2291,0,Higher education,Commercial associate,F,0
58431.387815076036,562852.4868558377,19892.28598031279,-10839,-8281,3,Secondary / secondary special,Commercial associate,F,0
80391.00728394918,322983.5256686801,25758.494241384695,-21286,-2190,0,Secondary / secondary special,Commercial associate,M,0
53605.381889718745,825935.8465508939,15852.171228410136,-20443,-501,2,Higher education,Commercial associate,M,0
73156.15121760979,1076704.072421851,22076.204419048627,-9014,-3206,2,Higher education,Working,F,0
60404.216251750724,487624.68030450284,17924.054955900658,-18872,-339,1,Secondary / secondary special,Working,F,0
77630.26450485789,371439.9844125754,17825.029888155637,-14825,-9361,2,Higher education,Commercial associate,F,0
94376.85669968795,414895.92257243465,21930.988029635035,-7680,-9738,2,Secondary / secondary special,Working,M,0
44997.28128510829,618910.4639798849,29016.673617135864,-12174,-9564,3,Secondary / secondary special,Working,F,0
45755.75929099137,591504.7954456687,21961.89931484917,-13242,-14645,2,Higher education,Working,F,0
47876.70574462661,467178.7224091685,9619.89604000691,-22355,-5751,1,Higher education,Working,M,0
48443.62781932841,414923.45109520893,14954.400002950973,-9779,-12982,0,Secondary / secondary special,Commercial associate,M,0
86324.46532363376,466566.15408230544,25462.182575686962,-7721,-8229,2,Secondary / secondary special,Working,F,0
40015.533799314435,350612.63483049144,17905.313933327387,-14348,-6906,1,Secondary / secondary special,Commercial associate,M,0
33445.13823649836,588374.0017652931,18205.181009836913,-9431,-4974,0,Higher education,Commercial associate,M,0
40236.244288368216,639264.6605763284,18163.10125512211,-8733,-14930,3,Higher education,Working,M,0
75324.78583162912,602428.7939165717,15006.804326124235,-24296,-10879,0,Secondary / secondary special,Working,M,0
64624.254089053,639288.6471026257,15588.93485440459,-12335,-9833,1,Secondary / secondary special,Commercial associate,M,0
52499.284435615074,385186.63258693693,15891.64554252358,-21098,-6238,3,Secondary / secondary special,Commercial associate,F,0
62030.59281974567,530140.2155433043,17498.772280174715,-19901,-1072,3,Secondary / secondary special,Working,F,0
87207.42888549768,419218.54412816674,17195.95855136004,-23485,-10752,3,Secondary / secondary special,Working,F,0
50838.79343580512,436056.76637987257,19419.548004400334,-7622,-8572,1,Higher education,Commercial associate,M,0
41083.74082570579,454217.5894113701,16423.887443343017,-18470,-14263,0,Higher education,Working,F,0
67093.95882371101,571659.0517120057,21243.012816789058,-13232,-11259,0,Secondary / secondary special,Commercial associate,F,1
33134.52023733411,765786.0311061494,21094.31486260181,-12089,-2881,1,Higher education,Commercial associate,F,1
72885.69177856928,499252.8805275198,25914.411442024633,-11434,-10190,1,Higher education,Working,M,0
59875.67011879019,633523.8118919791,23889.61186955308,-10522,-2184,3,Higher education,Commercial associate,M,0
